latitude,longitude,acq_datetime,frp,satellite,confidence,daynight,source,weight
17.9821,-76.5096,2026-07-31T06:50:00Z,0.73,N,n,N,VIIRS_SNPP_NRT,1
18.3849,-74.058,2026-07-31T06:50:00Z,3.15,N,n,N,VIIRS_SNPP_NRT,1
17.9849,-76.5052,2026-07-31T06:50:00Z,1.19,N,n,N,VIIRS_SNPP_NRT,1
17.9854,-76.5089,2026-07-31T06:50:00Z,0.73,N,n,N,VIIRS_SNPP_NRT,1
18.3803,-74.0512,2026-07-31T06:50:00Z,0.68,N,n,N,VIIRS_SNPP_NRT,1
18.3815,-74.0585,2026-07-31T06:50:00Z,3.15,N,n,N,VIIRS_SNPP_NRT,1
18.3843,-74.0544,2026-07-31T06:50:00Z,0.68,N,n,N,VIIRS_SNPP_NRT,1
18.3821,-74.0621,2026-07-31T06:50:00Z,3.15,N,n,N,VIIRS_SNPP_NRT,1
18.3893,-74.0425,2026-07-31T06:50:00Z,1.0,N,n,N,VIIRS_SNPP_NRT,1
18.4968,-77.8264,2026-07-31T06:50:00Z,0.86,N,n,N,VIIRS_SNPP_NRT,1
18.4974,-77.8303,2026-07-31T06:50:00Z,0.86,N,n,N,VIIRS_SNPP_NRT,1
18.5303,-89.12,2026-07-31T06:50:00Z,1.09,N,n,N,VIIRS_SNPP_NRT,1
18.775,-88.5916,2026-07-31T06:50:00Z,2.89,N,n,N,VIIRS_SNPP_NRT,1
18.7789,-88.591,2026-07-31T06:50:00Z,0.74,N,n,N,VIIRS_SNPP_NRT,1
18.3252,-71.98,2026-07-31T06:49:00Z,0.48,N,n,N,VIIRS_SNPP_NRT,1
18.3778,-71.9784,2026-07-31T06:49:00Z,0.86,N,n,N,VIIRS_SNPP_NRT,1
18.3621,-72.0596,2026-07-31T06:49:00Z,0.81,N,n,N,VIIRS_SNPP_NRT,1
18.359,-72.0422,2026-07-31T06:49:00Z,1.52,N,n,N,VIIRS_SNPP_NRT,1
18.3511,-72.0403,2026-07-31T06:49:00Z,0.6,N,n,N,VIIRS_SNPP_NRT,1
18.3268,-71.9893,2026-07-31T06:49:00Z,0.42,N,n,N,VIIRS_SNPP_NRT,1
18.326,-71.9847,2026-07-31T06:49:00Z,0.42,N,n,N,VIIRS_SNPP_NRT,1
18.315,-71.9832,2026-07-31T06:49:00Z,6.16,N,n,N,VIIRS_SNPP_NRT,1
18.3223,-71.985,2026-07-31T06:49:00Z,8.02,N,n,N,VIIRS_SNPP_NRT,1
18.3215,-71.9804,2026-07-31T06:49:00Z,7.77,N,n,N,VIIRS_SNPP_NRT,1
18.3196,-71.9876,2026-07-31T06:49:00Z,6.16,N,n,N,VIIRS_SNPP_NRT,1
18.3188,-71.983,2026-07-31T06:49:00Z,6.16,N,h,N,VIIRS_SNPP_NRT,1
18.3186,-71.9853,2026-07-31T06:49:00Z,8.02,N,n,N,VIIRS_SNPP_NRT,1
18.318,-71.9784,2026-07-31T06:49:00Z,1.76,N,n,N,VIIRS_SNPP_NRT,1
18.3895,-72.0015,2026-07-31T06:49:00Z,1.13,N,n,N,VIIRS_SNPP_NRT,1
18.3814,-71.9772,2026-07-31T06:49:00Z,0.86,N,n,N,VIIRS_SNPP_NRT,1
20.6273,-74.9288,2026-07-31T06:49:00Z,0.88,N,n,N,VIIRS_SNPP_NRT,1
